netid,number,term,grade
aad30,2041,2018 Spring Term,89
akm55,24775,2019 Spring Term,76
anm46,7269,2019 Spring Term,76
ata19,15842,2017 Fall Term,81
acn20,17124,2018 Spring Term,91
ags53,21412,2017 Fall Term,84
akh11,24825,2018 Fall Term,91
aam65,22965,2018 Fall Term,79
anp37,14970,2017 Fall Term,90
aaa63,529,2018 Spring Term,92
ajl88,18963,2018 Spring Term,83
act48,14779,2019 Spring Term,88
acf33,8062,2019 Spring Term,75
akk45,5026,2018 Fall Term,93
acb84,16220,2018 Fall Term,98
aca13,14970,2018 Fall Term,91
adw67,513,2018 Spring Term,75
acm91,4062,2017 Fall Term,81
arc88,7550,2018 Spring Term,85
agw32,15531,2019 Spring Term,92
anc52,2759,2018 Fall Term,88
ajg62,22805,2017 Fall Term,79
asc78,21412,2017 Fall Term,94
acs89,16036,2017 Fall Term,79
akg36,3815,2018 Fall Term,81
akj30,81,2018 Fall Term,81
atn13,10977,2018 Fall Term,94
amk96,4062,2019 Spring Term,85
asa57,8769,2019 Spring Term,75
ajv21,17124,2018 Spring Term,78
asc57,5796,2018 Spring Term,89
aks87,2046,2019 Spring Term,98
app25,82,2018 Spring Term,79
afd10,3815,2017 Fall Term,82
ant27,17498,2018 Spring Term,91
aeb94,1399,2018 Fall Term,98
ajd57,20130,2018 Spring Term,89
ask60,13857,2019 Spring Term,87
asr28,5904,2018 Fall Term,92
abv13,18275,2018 Spring Term,76
ajg67,5901,2018 Fall Term,85
amn40,24138,2017 Fall Term,94
abg35,19913,2018 Fall Term,78
ajp77,15334,2019 Spring Term,99
abd21,23679,2017 Fall Term,88
akj30,13103,2017 Fall Term,89
aac47,9789,2018 Spring Term,97
ahl24,7697,2018 Fall Term,92
aaw49,17499,2017 Fall Term,90
asb93,12640,2017 Fall Term,80
adw63,14970,2018 Fall Term,90
afc26,3815,2018 Fall Term,91
akt24,25328,2018 Fall Term,83
ajl89,25155,2018 Spring Term,90
avs22,20823,2018 Fall Term,97
aam84,22918,2018 Fall Term,98
ayl26,22156,2017 Fall Term,93
ast28,22203,2018 Fall Term,77
atr24,24656,2019 Spring Term,87
acb84,19640,2018 Fall Term,82
ajd42,5026,2018 Spring Term,96
avb11,10977,2017 Fall Term,77
abs75,24138,2017 Fall Term,82
acs97,20188,2017 Fall Term,81
asv17,82,2018 Fall Term,91
acm92,20324,2018 Spring Term,79
afk11,23351,2017 Fall Term,95
asj19,19023,2018 Spring Term,95
adr38,16955,2017 Fall Term,88
abb50,12571,2018 Spring Term,81
abh22,1854,2018 Fall Term,81
arc66,19765,2018 Spring Term,78
agc26,8048,2017 Fall Term,85
adp33,22914,2018 Fall Term,83
ajh66,17124,2019 Spring Term,84
acf31,8766,2019 Spring Term,96
adv12,5029,2018 Spring Term,76
aam99,8766,2017 Fall Term,92
akl22,10155,2017 Fall Term,80
ald59,19765,2017 Fall Term,87
ach70,1853,2018 Spring Term,81
ajk41,7692,2019 Spring Term,77
aaa87,16221,2018 Fall Term,87
ase24,8322,2018 Spring Term,79
acr36,6839,2018 Fall Term,81
asl63,24372,2018 Spring Term,79
agd33,7550,2018 Spring Term,79
ajz10,7979,2017 Fall Term,81
ajp73,15262,2018 Fall Term,89
anc52,13851,2019 Spring Term,77
agn21,24349,2017 Fall Term,76
acy12,1403,2018 Fall Term,75
aca13,15348,2018 Spring Term,83
aac20,17515,2018 Spring Term,97
aks79,1853,2018 Spring Term,79
arc88,23214,2017 Fall Term,82
aph35,19765,2019 Spring Term,90
aab83,13957,2019 Spring Term,98
aek48,13670,2017 Fall Term,98
aga16,22906,2017 Fall Term,83
aab83,8062,2018 Fall Term,80
abt23,24420,2018 Spring Term,99
asy13,18276,2019 Spring Term,80
ajp73,13076,2018 Spring Term,98
ajp53,4419,2017 Fall Term,78
amg89,17499,2018 Spring Term,84
aah52,23034,2017 Fall Term,80
adp33,20770,2018 Fall Term,88
alc73,19765,2019 Spring Term,87
aaw49,20824,2018 Fall Term,98
alg88,19468,2019 Spring Term,80
akk45,7697,2018 Fall Term,95
akh49,2523,2018 Fall Term,75
ahf13,24349,2018 Spring Term,91
acj34,12979,2019 Spring Term,76
atr24,8322,2019 Spring Term,88
aka32,21550,2017 Fall Term,76
ags40,23876,2019 Spring Term,90
aag44,5026,2018 Spring Term,84
alp58,6298,2017 Fall Term,81
ajd43,20138,2017 Fall Term,80
atr22,13956,2017 Fall Term,91
amp96,7550,2018 Spring Term,90
abc52,13851,2019 Spring Term,93
asj19,12940,2019 Spring Term,89
ajr74,24464,2018 Spring Term,94
afc22,7507,2018 Fall Term,92
ach81,7507,2018 Fall Term,98
ars93,6503,2018 Spring Term,82
aks94,4766,2019 Spring Term,90
aln22,12979,2017 Fall Term,94
abm45,16875,2018 Fall Term,83
alc73,5687,2018 Fall Term,75
alw89,17911,2017 Fall Term,75
atc38,24809,2017 Fall Term,76
atb28,4932,2017 Fall Term,89
acw63,7276,2018 Fall Term,87
asc67,6875,2017 Fall Term,83
alt55,9579,2019 Spring Term,79
aek41,22675,2018 Fall Term,79
alm69,22918,2019 Spring Term,80
aal26,6792,2017 Fall Term,87
amr68,23679,2018 Fall Term,95
ais30,20906,2019 Spring Term,87
acr53,13594,2017 Fall Term,76
abb70,19765,2018 Spring Term,87
adp32,6792,2019 Spring Term,79
ahr16,14770,2018 Spring Term,88
adl41,13857,2017 Fall Term,91
ach44,6875,2018 Spring Term,96
adn22,20527,2017 Fall Term,98
ags53,5030,2019 Spring Term,85
aaa63,1465,2017 Fall Term,79
ase24,25188,2018 Fall Term,96
arp47,23957,2018 Fall Term,86
abr39,22914,2018 Spring Term,89
ary13,19765,2019 Spring Term,85
acs98,1403,2018 Fall Term,87
asb84,22912,2018 Spring Term,93
amr81,23540,2018 Fall Term,98
abb56,8766,2019 Spring Term,80
alc87,5026,2017 Fall Term,88
aks64,10977,2019 Spring Term,84
aee12,19913,2018 Fall Term,91
ahl24,8766,2017 Fall Term,81
asv17,25220,2018 Fall Term,87
ahf12,5027,2018 Spring Term,92
ajg63,17806,2018 Fall Term,78
ana25,19913,2018 Fall Term,78
ark47,4925,2018 Fall Term,81
ags53,7453,2018 Fall Term,87
akt21,22912,2018 Fall Term,97
ask60,21080,2019 Spring Term,88
aak47,82,2018 Fall Term,85
aak26,18235,2019 Spring Term,77
aem94,7276,2018 Spring Term,96
ais30,22130,2018 Fall Term,88
aga16,19765,2019 Spring Term,89
alp67,13857,2019 Spring Term,86
ana25,22534,2019 Spring Term,99
arp69,7694,2018 Fall Term,84
apk22,20818,2017 Fall Term,83
ahk23,23266,2017 Fall Term,92
aen13,6839,2017 Fall Term,99
ant28,8048,2017 Fall Term,99
aep37,5836,2017 Fall Term,84
amk97,22675,2017 Fall Term,91
aee16,20797,2018 Fall Term,77
abd21,1403,2017 Fall Term,90
amv34,8766,2019 Spring Term,76
aps54,8769,2019 Spring Term,86
and29,25220,2018 Fall Term,80
akn18,2315,2018 Fall Term,99
aeb77,5901,2017 Fall Term,77
abe13,4062,2019 Spring Term,88
atn13,8062,2017 Fall Term,77
acf33,19765,2017 Fall Term,86
and38,24138,2017 Fall Term,78
aha24,7019,2017 Fall Term,81
ajd43,23957,2017 Fall Term,82
afm32,3845,2017 Fall Term,84
aad30,82,2017 Fall Term,95
ajg67,23683,2018 Fall Term,90
anb57,22918,2017 Fall Term,87
acr53,7528,2019 Spring Term,95
adp33,18465,2018 Fall Term,79
akr43,210,2018 Fall Term,78
atf24,24809,2017 Fall Term,95
akh49,3511,2019 Spring Term,79
arr54,24138,2017 Fall Term,92
adk35,9194,2018 Fall Term,77
afs28,2313,2019 Spring Term,83
alw96,12978,2017 Fall Term,84
ava13,1004,2018 Fall Term,86
aja33,24400,2018 Fall Term,92
ast30,16875,2017 Fall Term,88
aew60,22965,2018 Fall Term,97
atr22,20325,2018 Fall Term,86
abh44,22156,2017 Fall Term,94
aem99,21967,2019 Spring Term,94
aec53,15348,2018 Spring Term,95
abc52,81,2017 Fall Term,96
afa19,14770,2018 Spring Term,93
apa17,25029,2019 Spring Term,81
adf24,25098,2018 Spring Term,80
afc22,20824,2018 Spring Term,82
abb73,14779,2019 Spring Term,80
adk35,24656,2019 Spring Term,95
ajl88,25105,2018 Spring Term,78
aey11,1465,2017 Fall Term,91
aew60,24576,2018 Fall Term,95
aeh56,20820,2019 Spring Term,76
ahk23,17911,2018 Fall Term,88
ajp61,21852,2018 Fall Term,99
aom11,9194,2018 Spring Term,80
atc35,5026,2018 Spring Term,85
anb65,6298,2018 Fall Term,99
asr38,22965,2018 Fall Term,99
ajl82,7253,2017 Fall Term,82
avm15,3513,2018 Fall Term,98
afm20,18102,2018 Fall Term,82
ans66,20357,2019 Spring Term,78
amr90,2586,2018 Spring Term,76
awg13,513,2018 Spring Term,88
aro19,82,2018 Fall Term,87
aeb87,8766,2018 Fall Term,75
ack42,20824,2017 Fall Term,93
asl50,23876,2019 Spring Term,81
aej28,4926,2019 Spring Term,90
aka28,2974,2018 Spring Term,88
agb30,14567,2018 Fall Term,95
akt24,5718,2019 Spring Term,80
asc63,22156,2017 Fall Term,79
agp17,17410,2017 Fall Term,79
amr90,23876,2019 Spring Term,87
anp36,18270,2017 Fall Term,82
akh19,17124,2017 Fall Term,79
atf23,22675,2017 Fall Term,81
aam62,16958,2018 Fall Term,86
adh55,24999,2018 Fall Term,96
aam79,7507,2019 Spring Term,85
aad32,25220,2018 Fall Term,98
agw24,13180,2018 Spring Term,90
alr67,4062,2018 Fall Term,87
acs98,8048,2017 Fall Term,95
ama90,24432,2017 Fall Term,92
ajj29,24705,2017 Fall Term,80
aam85,10022,2017 Fall Term,76
ame45,19065,2018 Spring Term,78
amp95,15263,2019 Spring Term,86
acs80,2041,2019 Spring Term,81
akw30,23876,2019 Spring Term,91
aey11,21967,2018 Spring Term,92
ajc91,10020,2018 Spring Term,79
aer34,17428,2019 Spring Term,87
ask59,10020,2018 Spring Term,94
adh66,4766,2017 Fall Term,94
acs97,19374,2018 Spring Term,77
adm66,17428,2019 Spring Term,88
aal26,529,2018 Spring Term,84
abb73,5718,2017 Fall Term,88
apf22,7692,2018 Spring Term,93
aat18,19765,2019 Spring Term,83
ajl88,15228,2019 Spring Term,91
abb73,22912,2019 Spring Term,86
anb24,7019,2019 Spring Term,94
aca13,14971,2018 Fall Term,81
abs75,82,2019 Spring Term,88
adh55,12940,2018 Spring Term,77
asc57,15228,2019 Spring Term,85
alr42,24138,2017 Fall Term,95
aep56,13848,2019 Spring Term,93
acz10,22906,2017 Fall Term,86
aac45,19482,2017 Fall Term,79
aal31,22914,2019 Spring Term,96
agb41,7872,2018 Fall Term,75
aag44,21526,2019 Spring Term,87
aak49,1876,2018 Fall Term,87
acf33,8769,2018 Spring Term,82
ark45,17515,2019 Spring Term,75
aem91,5796,2019 Spring Term,89
aae21,19374,2017 Fall Term,81
acf33,1465,2018 Spring Term,91
agh22,25029,2018 Spring Term,88
arh86,7528,2019 Spring Term,85
acg59,1876,2018 Fall Term,89
adw42,20138,2017 Fall Term,83
alg90,24969,2018 Spring Term,86
awl14,1853,2018 Spring Term,87
ach45,24432,2018 Spring Term,97
aas98,1876,2018 Fall Term,81
alg88,15334,2018 Fall Term,86
ask59,22918,2017 Fall Term,80
alk43,25052,2018 Spring Term,96
awk11,7529,2018 Spring Term,90
arm88,8048,2017 Fall Term,80
adm66,4764,2018 Spring Term,78
adm86,5237,2018 Fall Term,92
abm43,20953,2018 Fall Term,85
awj12,2523,2019 Spring Term,87
asv13,21412,2017 Fall Term,92
adc72,12978,2019 Spring Term,78
ahf12,1461,2019 Spring Term,98
aww29,14970,2018 Fall Term,85
afa19,13594,2018 Fall Term,90
anb24,16389,2017 Fall Term,78
ahj10,82,2018 Fall Term,91
aec50,10030,2017 Fall Term,87
ack48,1461,2017 Fall Term,82
ads42,16875,2018 Spring Term,98
acd42,5833,2019 Spring Term,76
agd29,22156,2017 Fall Term,86
apa17,5796,2018 Spring Term,97
asa59,23953,2017 Fall Term,75
avs28,23651,2019 Spring Term,90
acr54,2586,2019 Spring Term,93
adn22,17806,2018 Spring Term,96
atb37,10020,2018 Spring Term,89
anm39,2041,2018 Spring Term,95
alt37,5718,2017 Fall Term,81
aeb94,1406,2018 Spring Term,86
asf45,24138,2017 Fall Term,96
ajt48,16428,2017 Fall Term,81
aks79,14315,2018 Spring Term,80
acg46,22965,2017 Fall Term,87
acb99,7625,2018 Fall Term,84
act46,15348,2018 Spring Term,82
abf20,4278,2018 Fall Term,87
agp16,25220,2018 Fall Term,85
ajw50,964,2017 Fall Term,99
aep56,24969,2018 Spring Term,87
acm92,20770,2018 Fall Term,77
ara47,8322,2017 Fall Term,87
ajp54,5028,2018 Fall Term,87
akl41,17911,2018 Fall Term,84
ajk79,12640,2019 Spring Term,91
ase21,5826,2017 Fall Term,77
abb54,529,2019 Spring Term,89
atf21,8322,2019 Spring Term,82
aea42,25279,2019 Spring Term,78
akt21,24775,2019 Spring Term,81
agp11,7694,2018 Fall Term,81
adf31,8766,2017 Fall Term,95
alp49,24969,2018 Spring Term,93
ama90,3513,2017 Fall Term,85
avs26,964,2017 Fall Term,96
aaj23,9150,2017 Fall Term,89
anm49,16881,2018 Fall Term,81
arp47,4278,2017 Fall Term,86
amp96,210,2019 Spring Term,82
atc31,1410,2018 Fall Term,89
acs98,15348,2018 Spring Term,92
amj60,23350,2019 Spring Term,86
aje22,17911,2017 Fall Term,97
anb65,20130,2018 Spring Term,98
akk42,19913,2018 Fall Term,99
act47,7550,2019 Spring Term,80
aab79,16036,2017 Fall Term,97
ans63,16850,2018 Fall Term,84
ado21,5237,2018 Fall Term,86
atb47,1860,2018 Spring Term,86
anb57,4925,2017 Fall Term,93
ats33,10020,2017 Fall Term,87
aaw38,6839,2018 Fall Term,93
atd25,13103,2018 Spring Term,91
abb50,4926,2019 Spring Term,90
aak29,17409,2019 Spring Term,93
atc31,5832,2018 Fall Term,91
awm21,7788,2018 Fall Term,99
aks87,21526,2019 Spring Term,79
amo34,9131,2019 Spring Term,89
ach70,17124,2018 Spring Term,99
arh86,20138,2018 Spring Term,93
ajp82,19482,2017 Fall Term,95
ant28,14770,2018 Fall Term,97
aee16,5832,2018 Fall Term,94
aep54,21369,2019 Spring Term,97
agc26,25279,2019 Spring Term,90
ats41,7906,2018 Fall Term,87
acf31,964,2018 Fall Term,93
atb35,6298,2018 Fall Term,83
apc30,20357,2017 Fall Term,85
ars93,24704,2019 Spring Term,88
asf25,25029,2019 Spring Term,86
aep54,24656,2019 Spring Term,98
alg68,24135,2017 Fall Term,81
akh11,5029,2018 Spring Term,97
apg23,5687,2018 Fall Term,79
aer34,9576,2018 Fall Term,93
arl41,1410,2018 Fall Term,99
all78,5901,2018 Fall Term,90
asl50,5027,2019 Spring Term,98
ash78,15228,2019 Spring Term,85
acf35,22675,2017 Fall Term,77
atf24,22203,2017 Fall Term,77
asf47,23204,2017 Fall Term,87
agk19,23123,2017 Fall Term,89
amh89,12940,2019 Spring Term,99
adm39,22409,2017 Fall Term,97
agw28,21369,2018 Spring Term,82
asc67,23876,2018 Spring Term,90
akv12,7276,2019 Spring Term,77
abb50,20818,2017 Fall Term,76
aab74,7884,2018 Fall Term,81
aeb94,13670,2018 Spring Term,94
amj62,8322,2017 Fall Term,95
amo34,5833,2018 Spring Term,98
ahc12,81,2018 Spring Term,97
aef37,25279,2018 Spring Term,84
akh48,25322,2018 Fall Term,99
ads50,6298,2019 Spring Term,89
akj30,12978,2017 Fall Term,97
ana24,25557,2019 Spring Term,88
ags53,18235,2019 Spring Term,82
arp69,5718,2017 Fall Term,91
ava17,7253,2017 Fall Term,96
ajk46,10020,2018 Spring Term,80
akd16,7906,2019 Spring Term,82
aap45,18275,2018 Spring Term,86
abr39,6875,2018 Spring Term,89
atn13,23876,2019 Spring Term,88
aro16,23529,2018 Spring Term,79
anp36,7694,2018 Spring Term,75
akr43,81,2019 Spring Term,97
ajt48,13851,2019 Spring Term,75
adc72,23350,2018 Spring Term,76
acm94,8048,2017 Fall Term,76
acy14,15263,2018 Spring Term,80
aam70,5796,2019 Spring Term,85
aea47,16881,2019 Spring Term,85
aam99,24775,2019 Spring Term,96
abh22,6496,2018 Spring Term,84
asa48,20357,2017 Fall Term,90
avm15,20324,2019 Spring Term,98
akb54,7872,2017 Fall Term,97
ais30,17292,2017 Fall Term,86
asv17,22156,2017 Fall Term,83
aat18,20357,2018 Spring Term,87
ajp77,5577,2017 Fall Term,92
ajm70,19400,2017 Fall Term,92
atr24,9586,2018 Spring Term,76
aln22,22534,2019 Spring Term,76
atn13,2974,2018 Spring Term,80
ans83,22675,2018 Fall Term,76
ame45,22329,2018 Spring Term,99
aab83,4773,2017 Fall Term,98
amz19,19400,2017 Fall Term,90
adn22,7692,2019 Spring Term,94
aeb94,6792,2018 Fall Term,79
ame49,22675,2018 Fall Term,95
akh19,18275,2019 Spring Term,91
awf11,19482,2018 Spring Term,89
aam33,7974,2017 Fall Term,90
abb10,16389,2017 Fall Term,77
adf35,3824,2019 Spring Term,75
aww28,14970,2019 Spring Term,76
atp24,17515,2019 Spring Term,99
agt15,1006,2017 Fall Term,92
aej21,23540,2018 Fall Term,78
atn13,24135,2017 Fall Term,80
aem65,3743,2018 Spring Term,77
asa58,3513,2017 Fall Term,86
aps44,23204,2017 Fall Term,81
aaf24,1004,2018 Spring Term,87
aom11,1004,2017 Fall Term,79
adf35,19765,2017 Fall Term,86
amv34,2586,2018 Fall Term,89
abf20,12977,2018 Spring Term,89
alt68,23204,2018 Fall Term,87
arh66,12571,2019 Spring Term,89
acr54,18102,2018 Fall Term,86
ahj10,7276,2018 Fall Term,78
amr89,24809,2018 Spring Term,97
apj11,23529,2018 Spring Term,90
asa48,17499,2017 Fall Term,77
agr25,18963,2017 Fall Term,96
afa16,7796,2018 Fall Term,85
aep55,9194,2018 Fall Term,92
ajg62,10025,2017 Fall Term,92
aar25,23214,2017 Fall Term,75
bad29,8766,2019 Spring Term,86
abs53,19482,2019 Spring Term,78
aln25,19482,2018 Spring Term,77
akk42,3743,2018 Spring Term,95
asm74,23540,2017 Fall Term,88
akm55,23539,2017 Fall Term,79
akd12,5716,2019 Spring Term,79
abr26,17911,2018 Fall Term,91
alh67,23957,2017 Fall Term,81
anc52,3845,2018 Spring Term,76
act40,23658,2019 Spring Term,80
ano12,25279,2018 Spring Term,97
aak47,17806,2018 Spring Term,93
alp58,24915,2017 Fall Term,90
adp32,16958,2018 Fall Term,96
ajr84,22912,2019 Spring Term,88
act40,4062,2017 Fall Term,96
app25,8769,2019 Spring Term,83
ajd42,18808,2018 Spring Term,87
acg59,12978,2019 Spring Term,95
acs98,7276,2017 Fall Term,86
abt23,20776,2017 Fall Term,78
arc66,24135,2018 Fall Term,99
awm28,13957,2018 Spring Term,86
acv20,8766,2018 Fall Term,80
amj55,20797,2018 Fall Term,96
aen20,8062,2019 Spring Term,82
ags40,1397,2019 Spring Term,94
aak44,6503,2018 Spring Term,76
ajr89,25557,2019 Spring Term,99
ate10,25557,2019 Spring Term,96
amf80,20357,2017 Fall Term,77
aks86,4932,2018 Fall Term,87
ach44,24969,2018 Fall Term,75
aeb89,5826,2018 Fall Term,90
ajz10,3513,2017 Fall Term,87
acm76,20324,2019 Spring Term,89
abm48,6875,2018 Spring Term,81
adw43,25220,2018 Fall Term,80
ajg63,2315,2018 Fall Term,97
atc37,25029,2019 Spring Term,77
anm43,22675,2018 Fall Term,75
ath27,19482,2018 Spring Term,81
akd12,22914,2018 Fall Term,98
acr54,23230,2019 Spring Term,84
ajj23,7872,2017 Fall Term,93
agr18,20324,2018 Spring Term,83
adm66,13180,2019 Spring Term,78
ajc85,1403,2018 Fall Term,98
att11,19142,2018 Spring Term,98
anj11,3845,2018 Spring Term,81
arl41,7528,2019 Spring Term,85
abs62,10022,2018 Spring Term,77
aaa87,12640,2018 Fall Term,91
anl31,18270,2017 Fall Term,78
acs80,9576,2018 Fall Term,76
ana25,24656,2019 Spring Term,96
aed41,17515,2018 Fall Term,77
aln25,9194,2018 Fall Term,75
asl63,22534,2018 Spring Term,81
ach49,9781,2019 Spring Term,87
alc73,4417,2017 Fall Term,91
apl18,12640,2017 Fall Term,75
ach79,15348,2018 Spring Term,76
asw57,18102,2018 Fall Term,86
ajt48,22805,2018 Fall Term,96
atg22,24138,2017 Fall Term,76
aah29,5030,2017 Fall Term,88
amr82,22534,2018 Spring Term,92
ash43,13857,2019 Spring Term,80
arh75,14970,2017 Fall Term,75
aha24,13857,2018 Fall Term,95
anl21,5033,2017 Fall Term,98
aks77,15067,2018 Spring Term,91
amm73,18235,2019 Spring Term,98
ack42,19400,2017 Fall Term,94
aga16,5028,2017 Fall Term,99
adm61,82,2018 Fall Term,78
akd16,20820,2019 Spring Term,78
arp68,22156,2017 Fall Term,92
acz10,21369,2017 Fall Term,76
asb94,5904,2017 Fall Term,87
apj11,19135,2019 Spring Term,81
asc78,16881,2018 Spring Term,99
aag44,7625,2017 Fall Term,98
ara42,19913,2019 Spring Term,75
arr54,15334,2019 Spring Term,96
art35,3033,2018 Spring Term,96
aah29,22912,2019 Spring Term,84
aas98,22912,2018 Spring Term,80
ajg78,25279,2018 Spring Term,87
aje22,18282,2017 Fall Term,75
ajt36,6875,2018 Fall Term,84
ajv21,1399,2017 Fall Term,81
alr76,24704,2019 Spring Term,85
arl45,12638,2018 Fall Term,99
aro19,3824,2018 Fall Term,99
art35,8048,2017 Fall Term,82
agb41,13670,2018 Fall Term,84
ajk67,19765,2017 Fall Term,93
akh21,23539,2017 Fall Term,85
apa20,8048,2017 Fall Term,91
ajl71,22914,2018 Spring Term,78
akl31,8322,2019 Spring Term,95
arl48,23957,2017 Fall Term,86
all81,2041,2018 Spring Term,84
aal31,24349,2019 Spring Term,94
amr88,25279,2019 Spring Term,76
aam66,5904,2018 Fall Term,85
abg35,21524,2019 Spring Term,82
atg22,9789,2018 Fall Term,84
acd41,4771,2018 Fall Term,84
ajv21,2759,2018 Fall Term,98
ava17,2046,2018 Fall Term,80
aks87,13594,2018 Fall Term,77
afm20,7884,2017 Fall Term,95
aab73,17806,2019 Spring Term,78
anb53,12978,2019 Spring Term,85
agh33,13594,2017 Fall Term,90
ajk74,24656,2019 Spring Term,85
adf31,2586,2018 Fall Term,96
apm34,9781,2018 Spring Term,97
aac20,14567,2018 Spring Term,84
alc99,10030,2017 Fall Term,91
anr45,19142,2018 Spring Term,83
anp37,16389,2018 Fall Term,98
akn18,23230,2019 Spring Term,98
atc35,21967,2018 Spring Term,93
aeb77,15531,2017 Fall Term,77
afs37,1465,2018 Spring Term,90
aer51,16220,2017 Fall Term,88
apj11,4422,2019 Spring Term,86
aap45,13957,2018 Spring Term,78
asp49,22675,2018 Fall Term,80
arl34,24400,2018 Fall Term,81
agc31,25279,2018 Spring Term,80
aga16,20824,2017 Fall Term,89
agj12,23893,2018 Spring Term,77
arl41,17292,2018 Fall Term,88
asd26,1860,2019 Spring Term,75
ast29,5027,2018 Spring Term,86
aef44,5026,2018 Spring Term,88
aee16,3033,2018 Spring Term,78
avd16,15348,2018 Spring Term,82
ack48,6839,2018 Fall Term,92
awh20,9150,2018 Spring Term,82
aje22,7975,2018 Spring Term,94
asm74,23232,2018 Fall Term,94
akw30,23953,2017 Fall Term,94
alt55,4419,2018 Fall Term,93
acn12,15262,2018 Spring Term,80
awh20,19135,2019 Spring Term,80
aka32,12977,2018 Fall Term,95
ash43,10020,2018 Fall Term,84
anh42,7627,2017 Fall Term,95
acf31,22675,2018 Fall Term,75
agw24,1853,2017 Fall Term,82
alf42,19765,2019 Spring Term,95
ajc85,23230,2019 Spring Term,90
anm39,12940,2018 Spring Term,79
afa16,1403,2017 Fall Term,78
aea37,23922,2018 Spring Term,76
aib10,5832,2017 Fall Term,75
abh44,24914,2017 Fall Term,77
acj21,5028,2018 Spring Term,78
asp49,24410,2019 Spring Term,88
ajj22,24432,2019 Spring Term,75
arc88,18235,2018 Spring Term,96
acn12,7697,2018 Fall Term,77
alp49,21080,2019 Spring Term,90
ack42,2728,2019 Spring Term,80
abm55,7550,2018 Spring Term,97
asc78,7258,2019 Spring Term,95
abb10,14315,2017 Fall Term,92
akl41,17409,2018 Spring Term,78
adc79,12940,2019 Spring Term,89
aml88,18808,2018 Spring Term,91
akb71,19765,2017 Fall Term,93
aeb77,24395,2019 Spring Term,85
abw36,24915,2018 Fall Term,97
akh21,81,2018 Fall Term,79
adl41,6503,2018 Spring Term,93
anw41,25279,2018 Spring Term,81
akj30,9579,2019 Spring Term,96
ana24,15334,2018 Spring Term,91
ags49,1461,2019 Spring Term,99
arc66,6875,2018 Fall Term,76
abs53,24400,2018 Fall Term,78
ale26,20130,2018 Spring Term,88
acb84,14567,2018 Fall Term,78
aem91,13857,2017 Fall Term,91
aer51,15334,2018 Spring Term,75
ajw71,23683,2018 Fall Term,82
amw77,22914,2019 Spring Term,91
ard44,14770,2017 Fall Term,85
atf24,16221,2017 Fall Term,80
aaa87,16036,2017 Fall Term,96
aaw49,24135,2017 Fall Term,75
asj19,19765,2018 Spring Term,98
akj31,10020,2018 Spring Term,85
asy13,1403,2018 Fall Term,89
aak42,15067,2018 Spring Term,88
