000587 1,ECON,344,History of Art Markets,R STS SS,
000587 2,VMS,242,History of Art Markets,R STS SS,
000588,ECON,352,Economic Growth,CCI R SS,
000588 1,ICS,356,Economic Growth,CCI R SS,
000588 2,ECON,452,Economic Growth,CCI R SS,
000588 3,ICS,452,Economic Growth,CCI R SS,
000594,ARTHIST,390A,Duke-Administered Study Abroad: Advanced Special Topics in Art History,,
000595,ARTHIST,278,European Art 1760-1850,CCI ALP CZ,
000600,ARTHIST,279,European Art 1850-1900,CCI ALP CZ,
000601,ARTHIST,280,European Art 1900-1945,CCI ALP CZ,
000601 1,ITALIAN,384,European Art 1900-1945,CCI ALP CZ,
000601 2,GSF,281,European Art 1900-1945,CCI ALP CZ,
000602,ARTHIST,281D,Global Art Since 1945,CCI EI ALP CZ,
000602 1,ICS,219D,Global Art Since 1945,CCI EI ALP CZ,
000602 2,WOMENST,277D,Global Art Since 1945,CCI EI ALP CZ,
000602 3,ARTHIST,381D,Global Art Since 1945,CCI EI ALP CZ,
000604,ARTHIST,378,Chinese Buddhist Art,CCI R ALP CZ,
000604 1,VMS,378,Chinese Buddhist Art,CCI R ALP CZ,
000605,ARTHIST,295,Chinese Art 1900 to Present,CCI R ALP CZ,
000608,AAAS,329,The Black Atlantic,CCI ALP CZ,
000608 1,ARTHIST,383,The Black Atlantic,CCI ALP CZ,
000608 2,ICS,226S,The Black Atlantic,CCI ALP CZ,
000609,ARTHIST,384,Art of the United States,EI ALP CZ,
000610,AAAS,227,African American Art,CCI R ALP CZ,
000610 1,ARTHIST,283,African American Art,CCI R ALP CZ,
000616,ARTHIST,232,Japanese Art 1600 to the Present,CCI EI ALP CZ,
000621,ARTHIST,298,History of Impressionism,CCI ALP CZ,
000626,ARTHIST,288,Dada and Surrealism,CCI ALP CZ,
000629,ARTHIST,296A,Berlin: Architecture Art and the City 1871-Present,CCI ALP CZ,
000629 1,GERMAN,322A,Berlin: Architecture Art and the City 1871-Present,CCI ALP CZ,
000637,ARTHIST,304,Cubism and Culture,CCI W ALP CZ,
000638,ARTHIST,303,History of Photography 1839 to the Present,CCI ALP CZ,
000638 1,VMS,303,History of Photography 1839 to the Present,CCI ALP CZ,
000638 2,AMI,308,History of Photography 1839 to the Present,CCI ALP CZ,
000638 3,DOCST,303,History of Photography 1839 to the Present,CCI ALP CZ,
000638 4,ICS,352,History of Photography 1839 to the Present,CCI ALP CZ,
000639,ARTHIST,501S,Greek Art and Society: Archaic to Classical,S CCI R ALP CZ,
000639 1,CLST,541S,Greek Art and Society: Archaic to Classical,S CCI R ALP CZ,
000659,ARTHIST,540S,Topics in Nineteenth-Century Art,S CCI R ALP CZ,
000666,ARTHIST,590S-8,Topics in Modern Art,S,
000667,ARTHIST,590S,Special Topics,S,
000670,ARTHIST,543S,Methodology of Art History,S R W ALP CZ,
000681,ARTHIST,713S,Jerusalem,S,
000681 1,RELIGION,881S,Jerusalem,S,
000685,ARTHIST,715S,Outsiders and Insiders,S,
000689,ARTHIST,718S,History of Conceptual Art,S,
000694,ARTHIST,791,Individual Research in Art History,,
000695,ARTHIST,792,Individual Research in Art History,,
000698,ARTHIST,790,Topics in Art History,,
000964,ARTSVIS,89S,First-Year Seminar,S,
000965,ARTSVIS,199,Drawing,ALP,
000969,ARTSVIS,201,Book Art: Form and Function,ALP,
000969 1,VMS,201,Book Art: Form and Function,ALP,
000970,ARTSVIS,202,Figure Drawing,ALP,
000971,ARTSVIS,203,Introduction to Architectural Design,ALP,
000973,ARTSVIS,205,Intermediate Drawing,R ALP,
000974,ARTSVIS,210,Sculpture,ALP,
000975,ARTSVIS,211,Intermediate Sculpture,ALP,
000977,ARTSVIS,216,Documentary Photography and the Southern Culture Landscape,S CCI ALP,
000977 1,DOCST,215,Documentary Photography and the Southern Culture Landscape,S CCI ALP,
000977 2,VMS,215,Documentary Photography and the Southern Culture Landscape,S CCI ALP,
000977 3,ARTSVIS,216S,Documentary Photography and the Southern Culture Landscape,S CCI ALP,
000977 4,DOCST,215S,Documentary Photography and the Southern Culture Landscape,S CCI ALP,
000977 5,VMS,215S,Documentary Photography and the Southern Culture Landscape,S CCI ALP,
000980,ARTSVIS,220,Intermediate Painting,ALP,
000982,ARTSVIS,224,Printmaking: Silkscreen,R ALP,
000982 1,VMS,221,Printmaking: Silkscreen,R ALP,
000984,ARTSVIS,226,Printmaking: Relief and Monotype,R ALP,
000992,ARTSVIS,360A,Duke-Administered Study Abroad: Advanced Special Projects in Visual Arts,CCI ALP,
000996,ARTSVIS,498S,Senior Capstone in Visual Practice,S ALP,
000999,ARTSVIS,491,Independent Study,,
001000,ARTSVIS,492,Independent Study,,
001004,AEROSCI,99L,Leadership Laboratory,,
001006,AEROSCI,201,Team and Leadership Fundamentals,STS,
001007,AEROSCI,301S,Leading People and Effective Communication,S EI,
001008,AEROSCI,302S,Leading People and Effective Communication,S EI,
001010,AEROSCI,401S,National Security Affairs/Preparation for Active Duty,S EI,
001011,AEROSCI,402S,National Security Affairs/Preparation for Active Duty,S EI,
001030,MGRECON,780,Managerial Economics,,
001031,MGRECON,781,The World Economy,,
001035,DECISION,610,Probability and Statistics,,
001036,DECISION,611,Decision Models,,
001038,MANAGEMT,730,Leadership Ethics and Organizations,,
001041,ACCOUNTG,590,Financial Accounting,,
001042,ACCOUNTG,591,Managerial Accounting,,
001043,ACCOUNTG,592,Detecting Earnings Management,,
001050,FINANCE,645,Global Financial Management,,
001051,FINANCE,646,Corporate Finance,,
001052,FINANCE,647,Investment,,
001053,FINANCE,648,Derivatives,,
001057,OPERATNS,820,Operations Management,,
001089,DECISION,616,Business Computer Applications,,
001120,ILE,565,Consequential Leadership 1,,
001120 1,FUQINTRD,565,Consequential Leadership 1,,
001121,ILE,566,Consequential Leadership 2,,
001121 1,FUQINTRD,566,Consequential Leadership 2,,
001159,MGMTCOM,570,Effective Advocacy,,
001177,MGMTCOM,571,Professional Project Communication,,
001203,HLTHMGMT,716,Management of Health Systems and Policy,,
001204,DECISION,613,Strategic Modeling and Business Dynamics,,
001205,DECISION,614,Forecasting,,
001209,MANAGEMT,744,Managerial Decision Making,,
001210,MANAGEMT,745,Negotiation,,
001211,MANAGEMT,746,Power and Politics in Organizations,,
001213,MANAGEMT,748,Strategic Management of Human Assets and Organizational Change,,
001214,MANAGEMT,749,Ethics in Management,,
001228,ACCOUNTG,596,Accounting for Mergers and Acquisitions,,
001229,ACCOUNTG,597,Financial Statement Analysis,,
001235,ACCOUNTG,601,Taxation and Global Management Decisions,,
001237,FINANCE,653,Fixed Income Securities,,
001238,FINANCE,654,Advanced Corporate Finance,,
001240,FINANCE,656,Global Asset Allocation and Stock Selection,,
001242,FINANCE,658,Corporate Restructuring,,
001242 1,LAW,324,Corporate Restructuring,,
001245,FINANCE,661,Raising Capital and Financial Technologies,,
001246,FINANCE,662,Real Estate Entrepreneurship,,
001260,OPERATNS,823,Operations Strategy,,
001264,OPERATNS,827,Global Operations,,
001265,OPERATNS,828,Supply Chain Management,,
001270,DECISION,617,Information Management,,
001271,MANAGEMT,896,Practicum,,
001273,GATE,580,Global Academic Travel Experience,,
001274,GATE,581,Global Academic Travel Experience,,
001276,GATE,583,Global Academic Travel Experience,,
001277,GATE,584,Global Academic Travel Experience,,
001282,BA,910,Bayesian Inference and Decision,,
001282 1,STA,502,Bayesian Inference and Decision,,
001283,BA,913,Choice Theory,,
001283 1,STA,503,Choice Theory,,
001285,BA,921,Organization Seminar: A Micro Focus,,
001286,BA,922,Organization Seminar: A Macro Focus,,
001287,BA,925,Behavioral Decision Theory,,
001287 1,PSY,716,Behavioral Decision Theory,,
001288,BA,931,Accounting Seminar: Empirical,,
001289,BA,932,Accounting Seminar: Analytical,,
001292,BA,951,Introduction to Finance,,
001293,BA,952,Finance II,,
001294,BA,953,Corporate Finance Theory - Finance III,,
001295,BA,961,Seminar in Quantitative Research in Marketing,,
001296,BA,962,Seminar in Consumer Behavior,,
001296 1,PSY,715,Seminar in Consumer Behavior,,
001298,BA,964,Experimental Design and Analysis Seminar,,
001299,BA,965,Automaticity,,
001299 1,PSY,772,Automaticity,,
001303,BA,991,Selected Topics in Business,,
001305,BA,998,Independent Study,,
001315,EVANTH,220,Human Evolution,NS,
001317,EVANTH,333L,The Human Body,NS,
001318,EVANTH,334L,Human Osteology,NS,
001319,EVANTH,530,Human Functional Anatomy,NS,
001321,EVANTH,257,Ecology and Adaptation of Hunters and Gatherers,CCI NS,
001322,EVANTH,253,Primate Ecology,R NS,
001324,EVANTH,344L,Primate Field Biology,R W NS,
001325,EVANTH,246,Sociobiology,STS NS,
001326,EVANTH,231L,Anatomy of the Lower Extremities,NS,
001327,EVANTH,235L,Primate Anatomy,NS,
001329,EVANTH,390,Current Issues in Evolutionary Anthropology,,
001331,EVANTH,390S,Current Topics in Evolutionary Anthropology,S,
001333,EVANTH,359S,Primate Conservation,S EI STS NS,
001338,EVANTH,393,Research Independent Study,R,
001344,EVANTH,582S,Primate Adaptation,S NS,
001348,EVANTH,546S,Primate Social Evolution,S R NS,
001349,EVANTH,520S,Primate Morphology and Fossil Record,S R NS,
001351,EVANTH,522,The Hominin Fossil Record,NS,
001356,EVANTH,590S,Special Topics,S,
001357,EVANTH,590LS,Special Topics Laboratory,S,
001359,BIOLOGY,588S,Macroevolution,S NS,
001359 1,EVANTH,588S,Macroevolution,S NS,
001368,EVANTH,730,Gross Human Anatomy,,
001371,EVANTH,701S,Concepts in Evolutionary Anthropology -A,S,
001372,EVANTH,790,Topics in Physical Anthropology,,
001374,EVANTH,793,Research in Evolutionary Anthropology,,
001375,EVANTH,791,Independent Study,,
001391,BIOCHEM,593,Research Independent Study,R,
001397,BIOCHEM,622,Structure of Biological Macromolecules,R,
001397 1,SBB,622,Structure of Biological Macromolecules,R,
001397 2,CBB,622,Structure of Biological Macromolecules,R,
001399,BIOCHEM,301,Introductory Biochemistry I: Intermediary Metabolism,,
001400,BIOCHEM,302,Introductory Biochemistry II,,
001403,BIOCHEM,659,Structural Biochemistry II,,
001403 1,CELLBIO,659,Structural Biochemistry II,,
001403 2,IMMUNOL,659,Structural Biochemistry II,,
001403 3,SBB,659,Structural Biochemistry II,,
001403 4,UPGEN,659,Structural Biochemistry II,,
001403 5,CBB,659,Structural Biochemistry II,,
001404,BIOCHEM,790S,Seminar (Topics),S,
001406,BIOCHEM,668,RNA Biology: Co-Transcriptional and Post-Transcriptional Control of Gene Expression,,
001406 1,CELLBIO,668,RNA Biology: Co-Transcriptional and Post-Transcriptional Control of Gene Expression,,
001406 2,IMMUNOL,668,RNA Biology: Co-Transcriptional and Post-Transcriptional Control of Gene Expression,,
001406 3,UPGEN,668,RNA Biology: Co-Transcriptional and Post-Transcriptional Control of Gene Expression,,
001410,BIOCHEM,681,Biophysical Methods,,
001410 1,SBB,681,Biophysical Methods,,
001417,BIOCHEM,745S,Biochemistry Seminar,S,
001418,BIOCHEM,746S,Biochemistry Seminar,S,
001424,BCS,760,Theology in the Black Church Traditions,,
001427,BCS,763,The Life and Thought of Martin Luther King Jr,,
001429,BCS,790,Selected Topics in Black Church History,,
001459,BIOLOGY,153,Ecosystem Health and Human Well-Being,STS NS,
001459 1,ENVIRON,153,Ecosystem Health and Human Well-Being,STS NS,
001461,BIOLOGY,89S,First-Year Seminar,S,
001465,BIOLOGY,157,The Dynamic Oceans,STS NS,
001465 1,EOS,102,The Dynamic Oceans,STS NS,
001470,BIOLOGY,158,Plants and Human Use,STS NS,
001472,BIOLOGY,190FS,Focus Program Topics in Biology,S,
001477,BIOLOGY,202L,Gateway to Biology: Genetics and Evolution,STS NS,
001478,BIOLOGY,212L,General Microbiology,NS,
001479,BIOLOGY,390A,Duke-Administered Study Abroad: Advanced Special Topics in Biology,,
001482,BIOLOGY,330L,Comparative and Functional Anatomy of the Vertebrates,NS,
001486,BIOLOGY,209,Ecology for a Crowded Planet,STS NS,
001486 1,BIOLOGY,209D-2,Ecology for a Crowded Planet,STS NS,
001489,BIOLOGY,369LA,Biological Oceanography,R NS,
001489 1,ENVIRON,369LA,Biological Oceanography,R NS,
001489 2,EOS,273LA,Biological Oceanography,R NS,
001494,BIOLOGY,220,Cell Biology,NS,
001495,BIOLOGY,213,Cell Signaling and Diseases,NS,
001495 1,BIOLOGY,213D,Cell Signaling and Diseases,NS,
001496,BIOLOGY,248,Evolution of Animal Form,R W NS,
001498,BIOLOGY,272A,Analysis of Ocean Ecosystems,NS,
001498 1,ENVIRON,272A,Analysis of Ocean Ecosystems,NS,
001498 2,EOS,272A,Analysis of Ocean Ecosystems,NS,
001500,BIOLOGY,376A,Marine Mammals,STS NS,
001500 1,ENVIRON,376A,Marine Mammals,STS NS,
001504,BIOLOGY,273LA,Marine Ecology,R W NS,
001504 1,ENVIRON,273LA,Marine Ecology,R W NS,
001504 2,EOS,374LA,Marine Ecology,R W NS,
001514,BIOLOGY,342L,Plant Systematics and Evolution,STS NS,
001520,BIOLOGY,278LA,Comparative Physiology of Marine Animals,R W NS,
001520 1,ENVIRON,278LA,Comparative Physiology of Marine Animals,R W NS,
001521,BIOLOGY,329L,Principles of Animal Physiology,R W NS,
001535,BIOLOGY,377LA,Marine Invertebrate Zoology,R NS,
001535 1,ENVIRON,377LA,Marine Invertebrate Zoology,R NS,
001535 2,EOS,377LA,Marine Invertebrate Zoology,R NS,
001540,BIOLOGY,214L,Experimenting With and Writing About Molecules and Cells,R W NS,
001540 1,BIOLOGY,416L,Experimenting With and Writing About Molecules and Cells,R W NS,
001542,BIOLOGY,293-1,Research Independent Study,R,
001543,BIOLOGY,293,Research Independent Study,R,
001545,BIOLOGY,490T,Tutorial,,
001547,BIOLOGY,290S,Seminar in Biology,S,
001549,BIOLOGY,490T-1,Tutorial,,
001567,BIOLOGY,540L,Mycology,NS,
001569,BIOLOGY,547L,Entomology,NS,
001602,BIOLOGY,565L,Biodiversity Science and Application,R NS,
001602 1,ENVIRON,575L,Biodiversity Science and Application,R NS,
001610,BIOLOGY,650,Molecular Population Genetics,NS,
001612,BIOLOGY,730,Evolutionary Mechanisms,NS,
001619,BIOLOGY,668,Population Ecology,NS,
001623,BIOLOGY,490S,Special Topics Seminar,S,
001642,BME,255,Safety of Medical Devices (GE),,
001649,BME,271,Signals and Systems,,
001650,BME,493,Projects in Biomedical Engineering (GE),,
001651,BME,494,Projects in Biomedical Engineering (GE),,
001656,BME,301L,Bioelectricity (AC or GE),,
001656 1,NEUROSCI,301L,Bioelectricity (AC or GE),,
001659,BME,506,Measurement and Control of Cardiac Electrical Events (GE EL IM),,
001666,BME,307,Transport Phenomena in Biological Systems (AC or GE BB),,
001666 1,CEE,307,Transport Phenomena in Biological Systems (AC or GE BB),,
001666 2,ME,307,Transport Phenomena in Biological Systems (AC or GE BB),,
001669,BME,511L,Intermediate Bioelectricity (GE EL),,
001669 1,NEUROSCI,511L,Intermediate Bioelectricity (GE EL),,
001672,BME,512L,Cardiac Bioelectricity (GE EL),,
001673,BME,513,Introduction to Neurodynamics,,
001676,BME,525,Biomedical Materials and Artificial Organs (GE BB),,
001676 1,ME,518,Biomedical Materials and Artificial Organs (GE BB),,
001677,BME,566,Transport Phenomena in Cells and Organs (GE MC),,
001679,BME,570L,Introduction to Biomolecular Engineering (GE BB MC),,
001681,BME,574,Modeling and Engineering Gene Circuits (GE MC),,
001681 1,CBB,574,Modeling and Engineering Gene Circuits (GE MC),,
001682,BME,542,Principles of Ultrasound Imaging (GE IM),,
001687,BME,530,Introduction to Tissue Biomechanics (GE BB),,
001688,BME,531,Intermediate Biomechanics (GE BB),,
001690,BME,303,Modern Diagnostic Imaging Systems (AC or GE),,
001690 1,BME,303L,Modern Diagnostic Imaging Systems (AC or GE),,
001692,BME,567,Biosensors (GE IM MC),,
001700,BME,460L,Devices for People with Disabilities (DR),,
001702,BME,464L,Medical Instrument Design (DR),,
001704,BME,590,Special Topics in Biomedical Engineering,,
001705,BME,711S,Biological Engineering Seminar Series (CBIMMS and CBTE),S,
001705 1,ME,717S,Biological Engineering Seminar Series (CBIMMS and CBTE),S,
001706,BME,712S,Biological Engineering Seminar Series (CBIMMS and CBTE),S,
001706 1,ME,718S,Biological Engineering Seminar Series (CBIMMS and CBTE),S,
001707,BME,701S,BME Graduate Seminars,S,
001708,BME,702S,BME Graduate Seminars,S,
001716,BME,899,Special Readings in Biomedical Engineering,,
001765,ENVIRON,538,Global Environmental Health: Economics and Policy,STS SS,
001765 1,GLHLTH,538,Global Environmental Health: Economics and Policy,STS SS,
001765 2,PUBPOL,582,Global Environmental Health: Economics and Policy,STS SS,
001835,BIOLOGY,712S,Plant Systematics Seminar,S,
001837,BIOLOGY,711S,Ecology Seminar,S,
001837 1,EVANTH,743,Ecology Seminar,S,
001837 2,ENVIRON,702,Ecology Seminar,S,
001842,BIOLOGY,718S,Developmental Cellular and Molecular Biology Seminar,S,
001853,CULANTH,80S,Studies in Special Topics,S,
001854,CULANTH,89S,First-Year Seminar,S,
001855,CULANTH,190A,Duke-Administered Study Abroad: Introductory Special Topics in Cultural Anthropology,,
001860,CULANTH,101,Introduction to Cultural Anthropology,CCI CZ SS,
001860 1,ICS,101,Introduction to Cultural Anthropology,CCI CZ SS,
001864,CULANTH,290A,Duke-Administered Study Abroad: Special Topics in Cultural Anthropology,,
001868,CULANTH,130,Anthropology and Film,SS,
001868 1,ICS,104,Anthropology and Film,SS,
001868 2,VMS,130,Anthropology and Film,SS,
001876,CULANTH,170,Advertising and Society: Global Perspective (DS4),CCI SS,
001876 1,ICS,169,Advertising and Society: Global Perspective (DS4),CCI SS,
001876 2,LINGUIST,170,Advertising and Society: Global Perspective (DS4),CCI SS,
001876 3,SOCIOL,160,Advertising and Society: Global Perspective (DS4),CCI SS,
001876 4,VMS,170,Advertising and Society: Global Perspective (DS4),CCI SS,
001877,CULANTH,206,Anthropology of Law,CCI EI SS,
001879,CULANTH,271,Gender and Culture,CCI SS,
001879 1,ICS,203,Gender and Culture,CCI SS,
001879 2,WOMENST,217,Gender and Culture,CCI SS,
001879 3,GSF,217,Gender and Culture,CCI SS,
001883,CULANTH,210,Global Culture,CCI SS,
001883 1,VMS,247,Global Culture,CCI SS,
001888,CULANTH,241,Migrant China,CCI CZ SS,
001888 1,AMES,231,Migrant China,CCI CZ SS,
001894,CULANTH,250,Muslim World: Transformations and Continuities,CCI SS,
001894 1,ICS,170,Muslim World: Transformations and Continuities,CCI SS,
001894 2,RELIGION,380,Muslim World: Transformations and Continuities,CCI SS,
001896,CULANTH,243,Culture and Politics in Latin America,CCI EI CZ SS,
001896 1,ICS,325,Culture and Politics in Latin America,CCI EI CZ SS,
001911,CULANTH,203,Marxism and Society,EI CZ SS,
001911 1,EDUC,239,Marxism and Society,EI CZ SS,
001911 2,LIT,380,Marxism and Society,EI CZ SS,
001911 3,POLSCI,371,Marxism and Society,EI CZ SS,
001911 4,SOCIOL,339,Marxism and Society,EI CZ SS,
001911 5,ARTS&SCI,380,Marxism and Society,EI CZ SS,
001914,CULANTH,204,Self and Society,CCI SS,
001914 1,PSY,224,Self and Society,CCI SS,
001934,ETHICS,341,Jewish Ethics,CCI EI W CZ,
001934 1,JEWISHST,341,Jewish Ethics,CCI EI W CZ,
001934 2,RELIGION,341,Jewish Ethics,CCI EI W CZ,
001935,CULANTH,343A,Themes in Chinese Culture and History,CCI CZ SS,
001935 1,HISTORY,224,Themes in Chinese Culture and History,CCI CZ SS,
001935 2,POLSCI,298A,Themes in Chinese Culture and History,CCI CZ SS,
001946,CULANTH,290,Current Issues in Anthropology,,
001947,CULANTH,290S,Current Issues in Anthropology,S,
001954,CULANTH,301,Theoretical Foundations of Cultural Anthropology,CCI SS,
001955,AMES,215S,The Middle East: From Facebook to Film,S CCI CZ SS,
001955 1,CULANTH,417S,The Middle East: From Facebook to Film,S CCI CZ SS,
001955 2,ICS,417S,The Middle East: From Facebook to Film,S CCI CZ SS,
001955 3,VMS,417S,The Middle East: From Facebook to Film,S CCI CZ SS,
001960,CULANTH,498S,Senior Seminar Distinction Program Sequence,S R,
001961,CULANTH,499S,Senior Seminar Distinction Program Sequence,S W,
001971,CULANTH,501S,Anthropology and History,S SS,
001971 1,HISTORY,572S,Anthropology and History,S SS,
001971 2,ROMST,521S,Anthropology and History,S SS,
